module id,category,module gds name,origin x [um],origin y [um],count,wchannel [nm],num fingers,lchannel [nm],lcontact [nm],loverlap [nm],gate asymmetry [nm],w_nmos [nm],w_pmos [nm],module description
'0032',TEST,cap_offset_vertical_10,18100.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 10 nm)"
'0033',TEST,cap_offset_vertical_20,18150.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 20 nm)"
'0034',TEST,cap_offset_vertical_30,18200.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 30 nm)"
'0035',TEST,cap_offset_vertical_40,18250.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 40 nm)"
'0036',TEST,cap_offset_vertical_50,18300.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 50 nm)"
'0037',TEST,mod_cnt4pp_n_contact,18400.0,0.0,1,0,None,0,0,0,0,None,None,"CNT 4 point probe (patch width = 2000 nm, 4000 nm, 8000 nm)"
'0038',TEST,mod_cnt4pp_p_contact,18500.0,0.0,1,0,None,0,0,0,0,None,None,"CNT 4 point probe (patch width = 2000 nm, 4000 nm, 8000 nm)"
'1000',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,0,0,1,4000.0,None,400.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1001',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,50,0,1,4000.0,None,400.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1002',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0,100,0,1,4000.0,None,200.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1003',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0,150,0,1,4000.0,None,200.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1004',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0,200,0,1,4000.0,None,160.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1005',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0,250,0,1,4000.0,None,160.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1006',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0,300,0,1,4000.0,None,140.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1007',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0,350,0,1,4000.0,None,140.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1008',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.12_lov_0.06_gateasym_0.00_w_4.0,400,0,1,4000.0,None,120.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1009',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.12_lov_0.06_gateasym_0.00_w_4.0,450,0,1,4000.0,None,120.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1010',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.10_lov_0.06_gateasym_0.00_w_4.0,500,0,1,4000.0,None,100.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1011',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.10_lov_0.06_gateasym_0.00_w_4.0,550,0,1,4000.0,None,100.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1012',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.08_lov_0.06_gateasym_0.00_w_4.0,600,0,1,4000.0,None,80.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1013',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.08_lov_0.06_gateasym_0.00_w_4.0,650,0,1,4000.0,None,80.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1014',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.07_lov_0.06_gateasym_0.00_w_4.0,700,0,1,4000.0,None,70.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1015',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.07_lov_0.06_gateasym_0.00_w_4.0,750,0,1,4000.0,None,70.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1016',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.06_lov_0.06_gateasym_0.00_w_4.0,800,0,1,4000.0,None,60.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1017',FET,mod_dummy_fet_tlm_pmos_lc_0.40_lch_0.06_lov_0.06_gateasym_0.00_w_4.0,850,0,1,4000.0,None,60.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1018',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,900,0,1,4000.0,None,400.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
