dirname,path,type,lc,lch,lov,gateasym,w,device_id
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_06_39_23,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_06_39_23,pmos,0.4,0.14,0.06,0.0,4.0,7
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0_8_2025_08_11_06_38_41,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0_8_2025_08_11_06_38_41,pmos,0.4,0.14,0.06,0.0,4.0,8
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0_9_2025_08_11_06_37_57,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.14_lov_0.06_gateasym_0.00_w_4.0_9_2025_08_11_06_37_57,pmos,0.4,0.14,0.06,0.0,4.0,9
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_06_10_09,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_06_10_09,pmos,0.4,0.16,0.06,0.0,4.0,0
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_06_02_58,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_06_02_58,pmos,0.4,0.16,0.06,0.0,4.0,10
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_06_02_15,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_06_02_15,pmos,0.4,0.16,0.06,0.0,4.0,11
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_06_01_31,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_06_01_31,pmos,0.4,0.16,0.06,0.0,4.0,12
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_06_00_49,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_06_00_49,pmos,0.4,0.16,0.06,0.0,4.0,13
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_06_00_06,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_06_00_06,pmos,0.4,0.16,0.06,0.0,4.0,14
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_05_59_22,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_05_59_22,pmos,0.4,0.16,0.06,0.0,4.0,15
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_05_58_39,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_05_58_39,pmos,0.4,0.16,0.06,0.0,4.0,16
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_05_57_55,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_05_57_55,pmos,0.4,0.16,0.06,0.0,4.0,17
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_05_57_11,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_05_57_11,pmos,0.4,0.16,0.06,0.0,4.0,18
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_19_2025_08_11_05_56_29,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_19_2025_08_11_05_56_29,pmos,0.4,0.16,0.06,0.0,4.0,19
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_1_2025_08_11_06_09_25,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_1_2025_08_11_06_09_25,pmos,0.4,0.16,0.06,0.0,4.0,1
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_20_2025_08_11_05_55_45,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_20_2025_08_11_05_55_45,pmos,0.4,0.16,0.06,0.0,4.0,20
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_21_2025_08_11_05_55_01,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_21_2025_08_11_05_55_01,pmos,0.4,0.16,0.06,0.0,4.0,21
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_22_2025_08_11_05_54_17,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_22_2025_08_11_05_54_17,pmos,0.4,0.16,0.06,0.0,4.0,22
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_23_2025_08_11_05_53_41,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_23_2025_08_11_05_53_41,pmos,0.4,0.16,0.06,0.0,4.0,23
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_2_2025_08_11_06_08_42,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_2_2025_08_11_06_08_42,pmos,0.4,0.16,0.06,0.0,4.0,2
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_3_2025_08_11_06_07_58,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_3_2025_08_11_06_07_58,pmos,0.4,0.16,0.06,0.0,4.0,3
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_4_2025_08_11_06_07_17,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_4_2025_08_11_06_07_17,pmos,0.4,0.16,0.06,0.0,4.0,4
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_5_2025_08_11_06_06_34,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_5_2025_08_11_06_06_34,pmos,0.4,0.16,0.06,0.0,4.0,5
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_6_2025_08_11_06_05_50,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_6_2025_08_11_06_05_50,pmos,0.4,0.16,0.06,0.0,4.0,6
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_06_05_07,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_06_05_07,pmos,0.4,0.16,0.06,0.0,4.0,7
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_8_2025_08_11_06_04_22,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_8_2025_08_11_06_04_22,pmos,0.4,0.16,0.06,0.0,4.0,8
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_9_2025_08_11_06_03_41,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.16_lov_0.06_gateasym_0.00_w_4.0_9_2025_08_11_06_03_41,pmos,0.4,0.16,0.06,0.0,4.0,9
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_05_35_39,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_05_35_39,pmos,0.4,0.2,0.06,0.0,4.0,0
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_05_28_24,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_05_28_24,pmos,0.4,0.2,0.06,0.0,4.0,10
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_05_27_40,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_05_27_40,pmos,0.4,0.2,0.06,0.0,4.0,11
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_05_26_57,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_05_26_57,pmos,0.4,0.2,0.06,0.0,4.0,12
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_05_26_13,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_05_26_13,pmos,0.4,0.2,0.06,0.0,4.0,13
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_05_25_29,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_05_25_29,pmos,0.4,0.2,0.06,0.0,4.0,14
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_05_24_46,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_05_24_46,pmos,0.4,0.2,0.06,0.0,4.0,15
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_05_24_02,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_05_24_02,pmos,0.4,0.2,0.06,0.0,4.0,16
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_05_23_18,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_05_23_18,pmos,0.4,0.2,0.06,0.0,4.0,17
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_05_22_35,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_05_22_35,pmos,0.4,0.2,0.06,0.0,4.0,18
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_19_2025_08_11_05_21_51,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_19_2025_08_11_05_21_51,pmos,0.4,0.2,0.06,0.0,4.0,19
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_1_2025_08_11_05_34_56,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_1_2025_08_11_05_34_56,pmos,0.4,0.2,0.06,0.0,4.0,1
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_20_2025_08_11_05_21_07,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_20_2025_08_11_05_21_07,pmos,0.4,0.2,0.06,0.0,4.0,20
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_21_2025_08_11_05_20_24,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_21_2025_08_11_05_20_24,pmos,0.4,0.2,0.06,0.0,4.0,21
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_22_2025_08_11_05_19_41,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_22_2025_08_11_05_19_41,pmos,0.4,0.2,0.06,0.0,4.0,22
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_23_2025_08_11_05_18_57,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_23_2025_08_11_05_18_57,pmos,0.4,0.2,0.06,0.0,4.0,23
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_2_2025_08_11_05_34_12,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_2_2025_08_11_05_34_12,pmos,0.4,0.2,0.06,0.0,4.0,2
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_3_2025_08_11_05_33_29,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_3_2025_08_11_05_33_29,pmos,0.4,0.2,0.06,0.0,4.0,3
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_4_2025_08_11_05_32_45,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_4_2025_08_11_05_32_45,pmos,0.4,0.2,0.06,0.0,4.0,4
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_5_2025_08_11_05_32_01,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_5_2025_08_11_05_32_01,pmos,0.4,0.2,0.06,0.0,4.0,5
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_6_2025_08_11_05_31_17,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_6_2025_08_11_05_31_17,pmos,0.4,0.2,0.06,0.0,4.0,6
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_05_30_34,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_05_30_34,pmos,0.4,0.2,0.06,0.0,4.0,7
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_8_2025_08_11_05_29_51,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_8_2025_08_11_05_29_51,pmos,0.4,0.2,0.06,0.0,4.0,8
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_9_2025_08_11_05_29_07,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.20_lov_0.06_gateasym_0.00_w_4.0_9_2025_08_11_05_29_07,pmos,0.4,0.2,0.06,0.0,4.0,9
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_05_00_48,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_05_00_48,pmos,0.4,0.4,0.06,0.0,4.0,0
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_04_53_32,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_04_53_32,pmos,0.4,0.4,0.06,0.0,4.0,10
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_04_52_48,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_04_52_48,pmos,0.4,0.4,0.06,0.0,4.0,11
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_04_52_05,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_04_52_05,pmos,0.4,0.4,0.06,0.0,4.0,12
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_04_51_21,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_04_51_21,pmos,0.4,0.4,0.06,0.0,4.0,13
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_04_50_37,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_04_50_37,pmos,0.4,0.4,0.06,0.0,4.0,14
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_04_49_53,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_04_49_53,pmos,0.4,0.4,0.06,0.0,4.0,15
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_04_49_10,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_04_49_10,pmos,0.4,0.4,0.06,0.0,4.0,16
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_04_48_27,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_04_48_27,pmos,0.4,0.4,0.06,0.0,4.0,17
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_04_47_43,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_04_47_43,pmos,0.4,0.4,0.06,0.0,4.0,18
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_19_2025_08_11_04_46_59,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_19_2025_08_11_04_46_59,pmos,0.4,0.4,0.06,0.0,4.0,19
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_1_2025_08_11_05_00_05,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_1_2025_08_11_05_00_05,pmos,0.4,0.4,0.06,0.0,4.0,1
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_20_2025_08_11_04_46_16,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_20_2025_08_11_04_46_16,pmos,0.4,0.4,0.06,0.0,4.0,20
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_21_2025_08_11_04_45_32,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_21_2025_08_11_04_45_32,pmos,0.4,0.4,0.06,0.0,4.0,21
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_22_2025_08_11_04_44_48,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_22_2025_08_11_04_44_48,pmos,0.4,0.4,0.06,0.0,4.0,22
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_23_2025_08_11_04_44_04,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_23_2025_08_11_04_44_04,pmos,0.4,0.4,0.06,0.0,4.0,23
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_2_2025_08_11_04_59_21,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_2_2025_08_11_04_59_21,pmos,0.4,0.4,0.06,0.0,4.0,2
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_3_2025_08_11_04_58_37,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_3_2025_08_11_04_58_37,pmos,0.4,0.4,0.06,0.0,4.0,3
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_4_2025_08_11_04_57_54,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_4_2025_08_11_04_57_54,pmos,0.4,0.4,0.06,0.0,4.0,4
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_5_2025_08_11_04_57_10,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_5_2025_08_11_04_57_10,pmos,0.4,0.4,0.06,0.0,4.0,5
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_6_2025_08_11_04_56_27,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_6_2025_08_11_04_56_27,pmos,0.4,0.4,0.06,0.0,4.0,6
gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_04_55_43,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_pmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0_7_2025_08_11_04_55_43,pmos,0.4,0.4,0.06,0.0,4.0,7
